CREATED_DATE,SPECIES,LATITUDE,LONGITUDE,Location
03/29/2016 07:15:00 PM,MAGPIES,-35.44026817,148.9427581,POINT (148.9427581 -35.44026817)
05/26/2016 02:22:00 PM,OTHER,-35.32635268,149.1312516,POINT (149.1312516 -35.32635268)
05/30/2016 01:52:00 PM,WOMBAT,-35.5991279,149.0530339,POINT (149.0530339 -35.5991279)
08/02/2016 01:59:00 PM,GALAH,-35.34719227,149.0346627,POINT (149.0346627 -35.34719227)
09/03/2016 02:09:00 PM,WOMBAT,-35.39817799,149.0706151,POINT (149.0706151 -35.39817799)
01/15/2017 07:27:00 AM,OTHER,-35.22348601,149.1344958,POINT (149.1344958 -35.22348601)
02/03/2017 10:11:00 AM,WALLAROO,-35.36368414,149.1207214,POINT (149.1207214 -35.36368414)
01/14/2024 12:39:00 PM,WALLABY,-35.26976716,149.0880316,POINT (149.0880316 -35.26976716)
09/07/2023 08:40:00 AM,EASTERN GREY KANGAROO,-35.19429446,148.9960748,POINT (148.9960748 -35.19429446)
05/17/2023 06:09:00 PM,EASTERN GREY KANGAROO,-35.26406282,149.0857389,POINT (149.0857389 -35.26406282)
06/19/2023 10:54:00 AM,EASTERN GREY KANGAROO,-35.55357554,149.1492517,POINT (149.1492517 -35.55357554)
02/26/2023 02:43:00 PM,EASTERN GREY KANGAROO,-35.34366445,149.1242731,POINT (149.1242731 -35.34366445)
09/10/2023 02:54:00 PM,EASTERN GREY KANGAROO,-35.36602448,149.1681819,POINT (149.1681819 -35.36602448)
10/28/2023 07:19:00 AM,EASTERN GREY KANGAROO,-35.21329396,149.1722996,POINT (149.1722996 -35.21329396)
02/01/2023 10:28:00 AM,BRUSHTAIL POSSUM,-35.27258482,149.114102,POINT (149.114102 -35.27258482)
07/26/2023 10:14:00 AM,EASTERN GREY KANGAROO,-35.30988904,149.1767795,POINT (149.1767795 -35.30988904)
07/02/2023 10:58:00 AM,EASTERN GREY KANGAROO,-35.53414102,149.138446,POINT (149.138446 -35.53414102)
10/22/2023 08:33:00 PM,EASTERN GREY KANGAROO,-35.2706778,149.1685379,POINT (149.1685379 -35.2706778)
10/09/2023 08:28:00 AM,EASTERN GREY KANGAROO,-35.29355014,149.0971818,POINT (149.0971818 -35.29355014)
12/29/2023 08:23:00 AM,EASTERN GREY KANGAROO,-35.17458016,149.1872391,POINT (149.1872391 -35.17458016)
07/20/2023 02:18:00 PM,EASTERN GREY KANGAROO,-35.22909692,149.0883113,POINT (149.0883113 -35.22909692)
07/04/2023 09:45:00 AM,WOMBAT,-35.54442423,149.1446756,POINT (149.1446756 -35.54442423)
09/28/2023 01:27:00 PM,EASTERN GREY KANGAROO,-35.21924633,149.0922671,POINT (149.0922671 -35.21924633)
06/08/2023 12:25:00 PM,EASTERN GREY KANGAROO,-35.19035663,149.1349302,POINT (149.1349302 -35.19035663)
11/19/2023 09:59:00 AM,WOMBAT,-35.2243749,149.1960261,POINT (149.1960261 -35.2243749)
08/11/2023 11:09:00 AM,EASTERN GREY KANGAROO,-35.53468591,149.1322125,POINT (149.1322125 -35.53468591)
02/17/2023 07:57:00 AM,OTHER,-35.17673793,149.0817244,POINT (149.0817244 -35.17673793)
07/30/2023 12:03:00 PM,EASTERN GREY KANGAROO,-35.38886344,149.1747384,POINT (149.1747384 -35.38886344)
08/31/2023 01:04:00 PM,EASTERN GREY KANGAROO,-35.30766296,149.085391,POINT (149.085391 -35.30766296)
01/19/2024 09:16:00 AM,EASTERN GREY KANGAROO,-35.21125205,149.1864829,POINT (149.1864829 -35.21125205)
04/29/2023 02:31:00 PM,FOX,-35.33532416,149.0861018,POINT (149.0861018 -35.33532416)
05/14/2023 10:07:00 AM,EASTERN GREY KANGAROO,-35.31923996,149.1305712,POINT (149.1305712 -35.31923996)
01/01/2024 01:13:00 AM,EASTERN GREY KANGAROO,-35.3817982,149.0967054,POINT (149.0967054 -35.3817982)
10/07/2023 07:53:00 PM,EASTERN GREY KANGAROO,-35.37178776,149.0619557,POINT (149.0619557 -35.37178776)
07/01/2023 07:12:00 AM,EASTERN GREY KANGAROO,-35.54369773,149.1389351,POINT (149.1389351 -35.54369773)
06/09/2023 10:07:00 AM,BRUSHTAIL POSSUM,-35.44759934,149.1457831,POINT (149.1457831 -35.44759934)
04/05/2023 10:14:00 AM,EASTERN GREY KANGAROO,-35.46046485,149.0432577,POINT (149.0432577 -35.46046485)
10/17/2023 08:11:00 AM,EASTERN GREY KANGAROO,-35.26660829,149.0569399,POINT (149.0569399 -35.26660829)
03/25/2023 11:11:00 AM,FOX,-35.26494972,149.1638226,POINT (149.1638226 -35.26494972)
03/08/2023 01:58:00 PM,RED NECKED WALLABY,-35.40629397,149.1234634,POINT (149.1234634 -35.40629397)
10/24/2023 02:02:00 PM,EASTERN GREY KANGAROO,-35.3417087,149.1450457,POINT (149.1450457 -35.3417087)
08/05/2023 11:24:00 AM,EASTERN GREY KANGAROO,-35.54074496,149.1471408,POINT (149.1471408 -35.54074496)
07/17/2023 11:07:00 AM,EASTERN GREY KANGAROO,-35.3164098,149.1987836,POINT (149.1987836 -35.3164098)
07/14/2023 11:41:00 AM,EASTERN GREY KANGAROO,-35.42758499,149.0626726,POINT (149.0626726 -35.42758499)
09/17/2023 12:30:00 PM,EASTERN GREY KANGAROO,-35.32635506,149.1979403,POINT (149.1979403 -35.32635506)
09/18/2023 08:22:00 AM,EASTERN GREY KANGAROO,-35.41856686,149.1444306,POINT (149.1444306 -35.41856686)
10/29/2023 08:19:00 AM,EASTERN GREY KANGAROO,-35.3101228,149.1733436,POINT (149.1733436 -35.3101228)
07/31/2023 10:00:00 AM,BRUSHTAIL POSSUM,-35.40706707,149.1502584,POINT (149.1502584 -35.40706707)
06/02/2023 07:08:00 PM,EASTERN GREY KANGAROO,-35.18751785,149.1164388,POINT (149.1164388 -35.18751785)
01/05/2024 11:00:00 AM,FOX,-35.32652011,149.1087462,POINT (149.1087462 -35.32652011)
09/21/2023 12:28:00 PM,EASTERN GREY KANGAROO,-35.34361064,149.116508,POINT (149.116508 -35.34361064)
03/03/2023 03:04:00 PM,WALLABY,-35.29874298,149.1318064,POINT (149.1318064 -35.29874298)
09/21/2023 10:05:00 AM,EASTERN GREY KANGAROO,-35.39324603,148.9839135,POINT (148.9839135 -35.39324603)
10/27/2023 09:50:00 PM,EASTERN GREY KANGAROO,-35.28630202,149.0871485,POINT (149.0871485 -35.28630202)
09/02/2023 10:22:00 AM,EASTERN GREY KANGAROO,-35.40557842,149.0847925,POINT (149.0847925 -35.40557842)
09/04/2023 12:01:00 PM,EASTERN GREY KANGAROO,-35.24080459,149.2579723,POINT (149.2579723 -35.24080459)
05/30/2023 10:08:00 AM,BRUSHTAIL POSSUM,-35.2699102,149.1700778,POINT (149.1700778 -35.2699102)
08/26/2023 01:40:00 PM,EASTERN GREY KANGAROO,-35.40934534,149.1496198,POINT (149.1496198 -35.40934534)
07/25/2023 05:55:00 AM,EASTERN GREY KANGAROO,-35.25170533,149.0844565,POINT (149.0844565 -35.25170533)
10/19/2023 09:33:00 AM,EASTERN GREY KANGAROO,-35.42109982,149.0863132,POINT (149.0863132 -35.42109982)
08/30/2023 01:30:00 PM,EASTERN GREY KANGAROO,-35.44898742,149.1476026,POINT (149.1476026 -35.44898742)
11/28/2023 08:16:00 AM,RED NECKED WALLABY,-35.29898796,149.1468823,POINT (149.1468823 -35.29898796)
08/02/2023 01:53:00 PM,EASTERN GREY KANGAROO,-35.37089545,149.0931511,POINT (149.0931511 -35.37089545)
09/01/2023 11:25:00 AM,WOMBAT,-35.26962439,149.0052699,POINT (149.0052699 -35.26962439)
08/23/2023 10:54:00 AM,EASTERN GREY KANGAROO,-35.24599791,149.1202507,POINT (149.1202507 -35.24599791)
09/14/2023 01:12:00 PM,EASTERN GREY KANGAROO,-35.37412479,149.0825861,POINT (149.0825861 -35.37412479)
01/16/2024 07:07:00 AM,EASTERN GREY KANGAROO,-35.3486015,149.0904581,POINT (149.0904581 -35.3486015)
04/23/2023 10:27:00 AM,EASTERN GREY KANGAROO,-35.34679958,149.0638884,POINT (149.0638884 -35.34679958)
12/18/2023 11:48:00 AM,EASTERN GREY KANGAROO,-35.29762446,149.0634185,POINT (149.0634185 -35.29762446)
05/28/2023 02:42:00 PM,GALAH,-35.2729385,148.9632319,POINT (148.9632319 -35.2729385)
07/08/2023 12:35:00 PM,EASTERN GREY KANGAROO,-35.53416723,149.1404096,POINT (149.1404096 -35.53416723)
04/03/2023 07:57:00 AM,EASTERN GREY KANGAROO,-35.44356957,149.147634,POINT (149.147634 -35.44356957)
11/28/2023 07:12:00 PM,EASTERN GREY KANGAROO,-35.28470158,149.0557666,POINT (149.0557666 -35.28470158)
11/22/2023 02:11:00 PM,DUCK,-35.30505757,149.1262407,POINT (149.1262407 -35.30505757)
07/31/2023 01:07:00 PM,WALLAROO,-35.37878093,149.078748,POINT (149.078748 -35.37878093)
09/26/2023 09:32:00 PM,WOMBAT,-35.3593366,149.039602,POINT (149.039602 -35.3593366)
11/01/2023 09:30:00 AM,EASTERN GREY KANGAROO,-35.39924129,149.0685477,POINT (149.0685477 -35.39924129)
09/26/2023 08:37:00 AM,EASTERN GREY KANGAROO,-35.41760698,149.1444245,POINT (149.1444245 -35.41760698)
10/24/2023 09:22:00 AM,EASTERN GREY KANGAROO,-35.26933093,149.0889048,POINT (149.0889048 -35.26933093)
09/17/2022 02:38:00 PM,BRUSHTAIL POSSUM,-35.30391354,149.1290993,POINT (149.1290993 -35.30391354)
06/14/2023 08:54:00 AM,EASTERN GREY KANGAROO,-35.17566022,149.1127924,POINT (149.1127924 -35.17566022)
06/20/2023 07:17:00 AM,EASTERN GREY KANGAROO,-35.34834555,149.0671671,POINT (149.0671671 -35.34834555)
10/26/2023 08:06:00 AM,EASTERN GREY KANGAROO,-35.21638907,149.0654438,POINT (149.0654438 -35.21638907)
11/03/2023 09:54:00 AM,FOX,-35.38475311,149.1559156,POINT (149.1559156 -35.38475311)
12/04/2023 11:55:00 AM,EASTERN GREY KANGAROO,-35.40965562,149.1372874,POINT (149.1372874 -35.40965562)
03/30/2023 10:23:00 AM,WALLAROO,-35.41149408,149.1960967,POINT (149.1960967 -35.41149408)
05/13/2023 07:20:00 PM,EASTERN GREY KANGAROO,-35.21386109,149.1133749,POINT (149.1133749 -35.21386109)
12/04/2023 09:34:00 AM,BRUSHTAIL POSSUM,-35.2390086,149.1291745,POINT (149.1291745 -35.2390086)
07/02/2023 09:56:00 AM,EASTERN GREY KANGAROO,-35.22736324,149.0702331,POINT (149.0702331 -35.22736324)
03/17/2023 10:39:00 AM,EASTERN GREY KANGAROO,-35.21202934,149.1121396,POINT (149.1121396 -35.21202934)
09/29/2023 08:47:00 AM,WALLABY,-35.23053902,149.0328723,POINT (149.0328723 -35.23053902)
